Incident Type,Creation Date,Response Time,Incident Number
Structural-Crane,2015-07-25,1296,13
Structural-Construction Accident,2015-07-31,71,1
Structural-Collapse,2015-08-04,195,5
Structural-Partial Collapse,2015-08-04,3162,12
Structural-Street Collapse,2015-08-04,386,7
Structural-Confined Space,2015-08-12,207,2
Structural-Street Collapse,2015-08-13,1072,7
Structural-Scaffold,2015-08-17,87,3
Structural-Sidewalk Shed,2015-08-25,86,9
Structural-Other,2015-08-26,178,8
Structural-Construction Accident,2015-09-01,239,1
Structural-Collapse,2015-09-03,1858,5
Structural-Street Collapse,2015-09-06,138,7
Structural-Other,2015-09-10,166,8
Structural-Construction Accident,2015-09-18,60,1
Structural-Crane,2015-09-23,39,13
Structural-Other,2015-10-11,7,8
Structural-Scaffold,2015-10-12,655,3
Structural-Confined Space,2015-10-15,54,2
Structural-Scaffold,2015-10-15,200,3
Structural-Scaffold,2015-10-18,100,3
Structural-Street Collapse,2015-10-26,1600,7
Structural-Construction Accident,2015-10-27,20,1
Structural-Street Collapse,2015-10-28,296,7
Structural-Stability Problem,2015-10-29,2539,11
Structural-Other,2015-10-31,82,8
Structural-Confined Space,2015-11-01,56,2
Structural-Other,2015-11-02,52,8
Structural-Other,2015-11-04,118,8
Structural-Partial Collapse,2015-11-17,173,12
Structural-Partial Collapse,2015-11-19,47,12
Structural-Construction Accident,2015-11-25,36,1
Structural-Construction Accident,2015-11-30,132,1
Structural-Stability Problem,2015-12-01,122,11
Structural-Life Safety Violations,2015-12-03,38,6
Structural-Stability Problem,2015-12-03,47,11
Structural-Construction Accident,2015-12-09,51,1
Structural-Stability Problem,2015-12-12,429,11
Structural-Scaffold,2015-12-15,479,3
Structural-Collapse,2015-12-15,80,5
Structural-Construction Accident,2015-12-22,79,1
Structural-Confined Space,2015-12-24,48,2
Structural-Scaffold,2016-01-04,965,3
Structural-Falling Debris,2016-01-10,2383,10
Structural-Crane,2016-01-12,66,13
Structural-Confined Space,2016-01-13,18,2
Structural-Crane,2016-01-14,70,13
Structural-Scaffold,2016-01-22,552,3
Structural-Collapse,2016-01-23,44,5
Structural-Other,2016-01-26,321,8
Structural-Scaffold,2016-01-30,140,3
Structural-Stability Problem,2016-01-31,155,11
Structural-Street Collapse,2016-02-01,718,7
Structural-Street Collapse,2016-02-03,1536,7
Structural-Construction Accident,2016-02-04,138,1
Structural-Construction Accident,2016-02-08,114,1
Structural-Other,2016-02-08,135,8
Structural-Stability Problem,2016-02-10,128,11
Structural-Construction Accident,2016-02-18,71,1
Structural-Falling Debris,2016-02-18,86,10
Structural-Crane,2016-02-22,721,13
Structural-Partial Collapse,2016-02-24,1375,12
Structural-Bricks,2016-02-25,891,4
Structural-Bricks,2016-02-25,1365,4
Structural-Falling Debris,2016-02-26,164,10
Structural-Crane,2016-02-28,1093,13
Structural-Street Collapse,2016-02-29,1023,7
Structural-Street Collapse,2016-03-01,39,7
Structural-Street Collapse,2016-03-07,1295,7
Structural-Other,2016-03-07,127,8
Structural-Partial Collapse,2016-03-09,2730,12
Structural-Collapse,2016-03-10,85,5
Structural-Other,2016-03-12,378,8
Structural-Street Collapse,2016-03-12,3873,7
Structural-Scaffold,2016-03-17,81,3
Structural-Stability Problem,2016-03-21,117,11
Structural-Other,2016-03-26,160,8
Structural-Other,2016-03-26,557,8
Structural-Scaffold,2016-03-29,195,3
Structural-Sidewalk Shed,2016-03-29,193,9
Structural-Other,2016-03-29,68,8
Structural-Crane,2016-04-01,201,13
Structural-Scaffold,2016-04-03,44,3
Structural-Partial Collapse,2016-04-03,1545,12
Structural-Falling Debris,2016-04-03,505,10
Structural-Crane,2016-04-03,23,13
Structural-Other,2016-04-05,1786,8
Structural-Stability Problem,2016-04-05,3956,11
Structural-Scaffold,2016-04-08,133,3
Structural-Stability Problem,2016-04-11,154,11
Structural-Other,2016-04-12,125,8
Structural-Falling Debris,2016-04-18,950,10
Structural-Other,2016-04-22,643,8
Structural-Construction Accident,2016-04-22,222,1
Structural-Crane,2016-04-25,71,13
Structural-Collapse,2016-04-26,523,5
Structural-Stability Problem,2016-05-05,405,11
Structural-Other,2016-05-08,113,8
Structural-Stability Problem,2016-05-11,2711,11
